mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8vb	Ottava:8va
2	1	3/2	3/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	7																
2	1	5/2	5/2	1.5	3/8	3/8	Chord	3/4	2	1	3/8			1/4	3/2	8																
2	1	5/2	5/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	9									3							
2	1	3	3	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	10									3							
2	1	7/2	7/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	11									3							
3	2	4	4	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	12		articTenutoAbove							2							
3	2	5	5	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	13									2							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	14									2							
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8			1/8	1	15																
3	2	6	6	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	16																
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	17																
3	2	11/2	11/2	1.5	3/8	3/8	Chord	3/4	2	1	3/8			1/4	3/2	18									4							
3	2	4	4	0.5	0	0	Chord	3/4	2	2	1/8			1/8	1	19									3							
3	2	9/2	9/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8			1/8	1	20																
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	21									5							
3	2	6	6	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	22									5							
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8			1/8	1	23									5							
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	24									2							
4	3	8	8	0.0	1/4	1/4	Spanner	3/4	1	1	0														2			1				
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	25									2			1				
4	3	9	9	0.0	1/2	1/2	Spanner	3/4	1	1	0														2							
4	3	9	9	0.0	1/2	1/2	Spanner	3/4	1	1	0														2		1					
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	26									2		1					
4	3	7	7	3.0	0	0	Chord	3/4	1	2	3/4			1/2	3/2	27											1					
4	3	7	7	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	28									4							
4	3	15/2	15/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	29																
4	3	17/2	17/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	30									6							
4	3	9	9	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	31									6							
4	3	19/2	19/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	32									6							
4	3	17/2	17/2	1.5	3/8	3/8	Chord	3/4	2	2	3/8			1/4	3/2	33																
5	4	10	10	0.0	0	0	Spanner	3/4	1	1	0																					
5	4	10	10	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	34																
5	4	23/2	23/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	35		articTenutoAbove							7							
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	36		articTenutoAbove														
5	4	10	10	2.0	0	0	Chord	3/4	1	2	1/2			1/2	1	37																
5	4	12	12	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	38																
5	4	10	10	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	39									6							
5	4	21/2	21/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	40									6							
5	4	11	11	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	41									6							
5	4	23/2	23/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	42									6							
5	4	10	10	1.0	0	0	Chord	3/4	2	2	1/4			1/4	1	43																
6	5	13	13	0.0	0	0	Spanner	3/4	1	1	0																					
6	5	13	13	0.0	0	0	Spanner	3/4	1	1	0																					
6	5	13	13	0.0	0	0	Spanner	3/4	1	1	0																2					
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	44									8		2					
6	5	14	14	0.0	1/4	1/4	Spanner	3/4	1	1	0																					
6	5	14	14	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	45																
6	5	31/2	31/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	46		articTenutoAbove							9							
6	5	13	13	2.0	0	0	Chord	3/4	1	2	1/2			1/2	1	47																
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	48																
6	5	13	13	0.0	0	0	StaffText	3/4	2	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>poco crescendo"													
6	5	13	13	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	49									10							
6	5	27/2	27/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	50									10							
6	5	14	14	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	51									10							
6	5	29/2	29/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	52									10							
7	6	16	16	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	53		articTenutoAbove							9							
7	6	17	17	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	54									9							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	55									9							
7	6	16	16	2.0	0	0	Chord	3/4	1	2	1/2			1/2	1	56																
7	6	18	18	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	57																
7	6	16	16	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	58									11							
7	6	33/2	33/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	59									11							
7	6	17	17	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	60									11							
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	61									11							
8	7	19	19	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	62									9							
8	7	20	20	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	63									9							
8	7	21	21	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	64									9							
8	7	19	19	3.0	0	0	Chord	3/4	1	2	3/4			1/2	3/2	65																
8	7	19	19	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	66									12							
8	7	39/2	39/2	0.0	1/8	1/8	StaffText	3/4	2	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>calando"						12							
8	7	39/2	39/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	67									12							
8	7	20	20	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	68									12							
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	69									12							
8	7	21	21	0.5	1/2	1/2	Chord	3/4	2	1	1/8			1/8	1	70									12							
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	71									12							
9	8	22	22	0.0	0	0	Dynamic	3/4	1	1	0						p								9							
9	8	22	22	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	72									9, 13							
9	8	24	24	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	73																
9	8	22	22	0.5	0	0	Chord	3/4	1	2	1/8			1/8	1	74									14							
9	8	45/2	45/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8			1/8	1	75									14							
9	8	23	23	1.0	1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	76									14							
9	8	23	23	0.5	1/4	1/4	Chord	3/4	2	1	1/8			1/8	1	77																
9	8	47/2	47/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	78																
9	8	24	24	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	79																
10	9	25	25	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>poco giocoso"													
10	9	51/2	51/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	80									15							
10	9	26	26	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	81									15							
10	9	53/2	53/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	82									15							
10	9	27	27	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	83									15							
10	9	55/2	55/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	84									15							
10	9	25	25	0.0	0	0	Dynamic	3/4	2	1	0						p															
10	9	25	25	0.0	0	0	StaffText	3/4	2	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>leggierissimo"													
10	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	85		articStaccatoBelow														
10	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	86		articStaccatoBelow														
10	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	87		articAccentStaccatoAbove														
11	10	28	28	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>affrettando (ma poco a poco)"						15							
11	10	28	28	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	88									15							
11	10	57/2	57/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	89									15							
11	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	90									15							
11	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	91									15							
11	10	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	92									15							
11	10	61/2	61/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	93									15							
11	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	94		articStaccatoAbove							16							
11	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	95		articStaccatoBelow							16							
11	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	96		articAccentStaccatoBelow														
12	11	31	31	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	97									15							
12	11	63/2	63/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	98									15							
12	11	32	32	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	99									15							
12	11	65/2	65/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	100									15							
12	11	33	33	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	101									15							
12	11	67/2	67/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	102									15							
12	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	103		articStaccatoBelow							17							
12	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	104		articStaccatoBelow							17							
12	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	105		articAccentStaccatoBelow														
13	12	34	34	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	106									15							
13	12	69/2	69/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	107									15							
13	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	108									15							
13	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	109									15							
13	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	110									15							
13	12	73/2	73/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	111									15							
13	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	112		articStaccatoAbove							18							
13	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	113		articStaccatoBelow							18							
13	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	114		articAccentStaccatoBelow														
14	13	37	37	0.0	0	0	StaffText	3/4	1	1	0								crescendo						15							
14	13	37	37	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	115									15							
14	13	75/2	75/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	116									15							
14	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	117									15							
14	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	118									15							
14	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	119									15							
14	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	120									15							
14	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	121		articStaccatoBelow							19							
14	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	122		articStaccatoBelow							19							
14	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	123		articAccentStaccatoBelow														
15	14	40	40	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>sempre affrettando"						15							
15	14	40	40	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	124									15							
15	14	81/2	81/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	125									15							
15	14	41	41	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	126									15							
15	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	127									15							
15	14	42	42	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	128									15							
15	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	129									15							
15	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	130		articStaccatoAbove							20							
15	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	131		articStaccatoBelow							20							
15	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	132		articAccentStaccatoBelow														
16	15	43	43	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	133									15							
16	15	87/2	87/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	134									15							
16	15	44	44	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	135									15							
16	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	136									15							
16	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	137									15							
16	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	138									15							
16	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	139		articStaccatoBelow							21							
16	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	140		articStaccatoBelow							21							
16	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	141		articAccentStaccatoBelow														
17	16	46	46	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	142									15							
17	16	93/2	93/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	143									15							
17	16	47	47	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	144									15							
17	16	95/2	95/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	145									15							
17	16	48	48	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	146									15							
17	16	97/2	97/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	147									15							
17	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	148		articStaccatoBelow							22							
17	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	149		articStaccatoBelow							22							
17	16	48	48	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	150		articAccentStaccatoBelow														
18	17	49	49	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>Vivo"						15							
18	17	49	49	0.0	0	0	Dynamic	3/4	1	1	0						mf								15							
18	17	49	49	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	151									15							
18	17	99/2	99/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	152									15							
18	17	50	50	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	153									15							
18	17	101/2	101/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	154									15							
18	17	51	51	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	155									15							
18	17	103/2	103/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	156									15							
18	17	51	51	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	157		articAccentBelow														
19	18	52	52	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	158									15							
19	18	105/2	105/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	159									15							
19	18	53	53	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	160									15							
19	18	107/2	107/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	161									15							
19	18	54	54	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	162									15							
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	163																
19	18	54	54	0.0	1/2	1/2	Spanner	3/4	2	1	0																	2				
19	18	109/2	109/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8			1/8	1	164									23			2				
20	19	55	55	0.0	0	0	Spanner	3/4	1	1	0																	3				
20	19	55	55	0.4	0	0	Chord	3/4	1	1	1/10			1/8	4/5	165									24			3				
20	19	277/5	277/5	0.4	1/10	1/10	Chord	3/4	1	1	1/10			1/8	4/5	166									24			3				
20	19	279/5	279/5	0.4	1/5	1/5	Chord	3/4	1	1	1/10			1/8	4/5	167									24			3				
20	19	281/5	281/5	0.4	3/10	3/10	Chord	3/4	1	1	1/10			1/8	4/5	168									24			3				
20	19	283/5	283/5	0.4	2/5	2/5	Chord	3/4	1	1	1/10			1/8	4/5	169									24			3				
20	19	57	57	0.4	1/2	1/2	Chord	3/4	1	1	1/10			1/8	4/5	170									24			3				
20	19	287/5	287/5	0.4	3/5	3/5	Chord	3/4	1	1	1/10			1/8	4/5	171									24			3				
20	19	289/5	289/5	0.2	7/10	7/10	Chord	3/4	1	1	1/20			1/16	4/5	172									24			3				
20	19	55	55	0.0	0	0	Spanner	3/4	2	1	0																					
20	19	55	55	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	173																
20	19	57	57	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	174		articAccentBelow														
21	20	58	58	0.2	0	0	Chord	3/4	1	1	1/20			1/16	4/5	175									24			3				
21	20	291/5	291/5	0.4	1/20	1/20	Chord	3/4	1	1	1/10			1/8	4/5	176									24			3				
21	20	293/5	293/5	0.4	3/20	3/20	Chord	3/4	1	1	1/10			1/8	4/5	177									24			3				
21	20	59	59	0.0	1/4	1/4	Spanner	3/4	1	1	0														24			3				0
21	20	59	59	0.4	1/4	1/4	Chord	3/4	1	1	1/10			1/8	4/5	178									24			3				0
21	20	297/5	297/5	0.4	7/20	7/20	Chord	3/4	1	1	1/10			1/8	4/5	179									24			3				0
21	20	299/5	299/5	0.4	9/20	9/20	Chord	3/4	1	1	1/10			1/8	4/5	180									24			3				0
21	20	301/5	301/5	0.4	11/20	11/20	Chord	3/4	1	1	1/10			1/8	4/5	181									24			3				0
21	20	303/5	303/5	0.0	13/20	13/20	Spanner	3/4	1	1	0														24							0
21	20	303/5	303/5	0.4	13/20	13/20	Chord	3/4	1	1	1/10			1/8	4/5	182									24							0
21	20	59	59	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	183		articAccentBelow														
22	21	61	61	0.0	0	0	Spanner	3/4	1	1	0																3					0
22	21	61	61	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	184		articStaccatoAbove									3					0
22	21	123/2	123/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	185		articStaccatoAbove									3					0
22	21	62	62	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	186		articStaccatoAbove									3					0
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	187		articStaccatoAbove									3					0
22	21	63	63	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	188		articStaccatoAbove									3					0
22	21	127/2	127/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	189		articStaccatoAbove									3					0
22	21	61	61	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	190		articAccentStaccatoBelow														
22	21	125/2	125/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	191		articStaccatoAbove														
22	21	63	63	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	192		articStaccatoAbove														
23	22	64	64	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	193		articStaccatoAbove									3					0
23	22	129/2	129/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	194		articStaccatoAbove									3					0
23	22	65	65	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	195		articStaccatoAbove									3					0
23	22	131/2	131/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	196		articStaccatoAbove									3					0
23	22	66	66	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	197		articStaccatoAbove									3					0
23	22	133/2	133/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																					0
23	22	133/2	133/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	198		articStaccatoAbove														0
23	22	64	64	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	199		articStaccatoBelow														
23	22	65	65	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	200		articStaccatoBelow														
23	22	66	66	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	201		articStaccatoBelow														
24	23	67	67	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>ritenuto"													
24	23	67	67	0.0	0	0	Spanner	3/4	1	1	0																					
24	23	67	67	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	202																
24	23	68	68	0.0	1/4	1/4	Spanner	3/4	1	1	0																4					
24	23	68	68	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	203		articTenutoAbove							25		4					
24	23	139/2	139/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	204		articTenutoAbove							25		4					
24	23	67	67	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	205																
24	23	137/2	137/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8			1/8	1	206		articStaccatoAbove														
24	23	69	69	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	207		articStaccatoAbove														
24	23	67	67	1.0	0	0	Chord	3/4	2	2	1/4			1/4	1	208		articAccentStaccatoBelow							26							
25	24	70	70	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	209		articTenutoAbove									4					
25	24	72	72	0.0	1/2	1/2	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>dolce"													
25	24	72	72	0.0	1/2	1/2	Spanner	3/4	1	1	0																					
25	24	72	72	0.0	1/2	1/2	Spanner	3/4	1	1	0																	4				
25	24	72	72	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	210									27			4				
25	24	72	72	0.5	1/2	1/2	Chord	3/4	1	2	1/8			1/8	1	211									28			4				
25	24	145/2	145/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8			1/8	1	212									28			4				
25	24	70	70	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	213		articStaccatoAbove														
25	24	71	71	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	214		articStaccatoAbove														
25	24	72	72	0.0	1/2	1/2	Dynamic	3/4	2	1	0						p															
25	24	72	72	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	215		articStaccatoAbove														
26	25	73	73	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>tranquillo (tempo I)"						27							
26	25	73	73	0.0	0	0	Spanner	3/4	1	1	0														27							
26	25	73	73	0.0	0	0	Spanner	3/4	1	1	0														27		5					
26	25	73	73	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	216									27		5					
26	25	74	74	0.0	1/4	1/4	StaffText	3/4	1	1	0								"<font size=""10.2313""/><font face=""Plantin MT Std""/>espress."													
26	25	74	74	0.0	1/4	1/4	Spanner	3/4	1	1	0																					
26	25	74	74	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	217																
26	25	151/2	151/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	218		articTenutoAbove							29							
26	25	73	73	0.5	0	0	Chord	3/4	2	1	1/8			1/8	1	219																
26	25	147/2	147/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8			1/8	1	220																
26	25	149/2	149/2	1.5	3/8	3/8	Chord	3/4	2	1	3/8			1/4	3/2	221																
26	25	149/2	149/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8			1/8	1	222									30							
26	25	75	75	0.5	1/2	1/2	Chord	3/4	2	2	1/8			1/8	1	223									30							
