mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	pedal	Pedal_<sym>keyboardPedalPed</sym>	Ottava:8vb
4	4	9	9	3.0	0	0	Chord	3/4	2	1	3/4			1/2	3/2	27									3					
5	5	12	12	0.0	0	0	Dynamic	3/4	1	1	0						pp								2					
5	5	49/4	49/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	28														
5	5	25/2	25/2	0.0	1/8	1/8	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>piu mosso"											
5	5	25/2	25/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	29									4					
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	30									4					
5	5	13	13	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	31									4					
5	5	53/4	53/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	32									4					
5	5	27/2	27/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	33									4					
5	5	55/4	55/4	0.0	7/16	7/16	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>accelerando"						4					
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	34									4					
5	5	14	14	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	35									4					
5	5	57/4	57/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	36									4					
5	5	29/2	29/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	37									4					
5	5	59/4	59/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	38									4					
5	5	12	12	0.0	0	0	StaffText	3/4	2	1	0								"<font size=""11.9365""/><font face=""Plantin MT Std""/>leggierissimo"											
5	5	12	12	0.0	0	0	Dynamic	3/4	2	1	0						p													
5	5	12	12	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	39									5					
5	5	13	13	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	40									5					
5	5	14	14	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	41									5					
6	6	15	15	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	42									4					
6	6	61/4	61/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	43									4					
6	6	31/2	31/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	44									4					
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	45									4					
6	6	16	16	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	46									4					
6	6	65/4	65/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	47									4					
6	6	33/2	33/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	48									4					
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	49									4					
6	6	17	17	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	50									4					
6	6	69/4	69/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	51									4					
6	6	35/2	35/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	52									4					
6	6	71/4	71/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	53									4					
6	6	15	15	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	54									5					
6	6	16	16	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	55									5					
6	6	17	17	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	56									5					
7	7	18	18	0.25	0	0	Chord	3/4	1	1	1/16			1/16	1	57									4					
7	7	73/4	73/4	0.25	1/16	1/16	Chord	3/4	1	1	1/16			1/16	1	58									4					
7	7	37/2	37/2	0.25	1/8	1/8	Chord	3/4	1	1	1/16			1/16	1	59									4					
7	7	75/4	75/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	60									4					
7	7	19	19	0.0	1/4	1/4	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>poco calando"						4					
7	7	19	19	0.25	1/4	1/4	Chord	3/4	1	1	1/16			1/16	1	61									4					
7	7	77/4	77/4	0.25	5/16	5/16	Chord	3/4	1	1	1/16			1/16	1	62									4					
7	7	39/2	39/2	0.25	3/8	3/8	Chord	3/4	1	1	1/16			1/16	1	63									4					
7	7	79/4	79/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	64									4					
7	7	20	20	0.25	1/2	1/2	Chord	3/4	1	1	1/16			1/16	1	65									4					
7	7	81/4	81/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16			1/16	1	66									4					
7	7	41/2	41/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16			1/16	1	67									4					
7	7	83/4	83/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	68									4					
7	7	18	18	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	69														
8	8	21	21	0.0	0	0	Dynamic	3/4	1	1	0						pp													
8	8	21	21	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	70														
8	8	23	23	0.0	1/2	1/2	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>sognando"											
8	8	23	23	0.0	1/2	1/2	Dynamic	3/4	1	1	0						mp													
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	71									6					
9	9	24	24	1.5	0	0	Chord	3/4	1	1	3/8			1/4	3/2	72									6					
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	73									6					
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	74									6					
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	75									6					
9	9	24	24	0.0	0	0	StaffText	3/4	2	1	0								"<font size=""11.9365""/><font face=""Plantin MT Std""/>espressivo"											
9	9	24	24	0.0	0	0	Spanner	3/4	2	1	0																	0	0	
9	9	24	24	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	76									7			0	0	
9	9	25	25	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	77		articStaccatoAbove										0	0	
9	9	26	26	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	78									8					
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	79									6					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	80									6					
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	81									6					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	82									6					
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	83									6					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	84									6					
10	10	27	27	0.0	0	0	Spanner	3/4	2	1	0																	1	1	
10	10	27	27	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	85									9			1	1	
10	10	28	28	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	86		articStaccatoAbove										1	1	
10	10	29	29	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
11	11	30	30	0.0	0	0	Spanner	3/4	1	1	0														6		0			
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	87									6		0			
11	11	61/2	61/2	0.0	1/8	1/8	Spanner	3/4	1	1	0														6					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	88									6					
11	11	31	31	0.0	1/4	1/4	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>ten."											
11	11	31	31	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	89		articTenutoBelow												
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	90									10					
11	11	30	30	0.0	0	0	Spanner	3/4	2	1	0																	2	2	
11	11	30	30	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	91		articStaccatoBelow							11			2	2	
11	11	31	31	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	92		articStaccatoAbove										2	2	
11	11	32	32	0.0	1/2	1/2	Spanner	3/4	2	1	0																			
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	93									12					
12	12	33	33	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	94									10					
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	95									10					
12	12	34	34	0.0	1/4	1/4	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>ten."											
12	12	34	34	2.0	1/4	1/4	Chord	3/4	1	1	1/2			1/2	1	96		articTenutoBelow												
12	12	33	33	0.0	0	0	Spanner	3/4	2	1	0																1			
12	12	33	33	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	97		articStaccatoBelow									1			
12	12	34	34	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
12	12	34	34	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	98		articStaccatoAbove							13					
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	99									14					
13	13	73/2	73/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4			1/4	1	100									15					
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	101									15					
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	102									15					
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	103									15					
13	13	36	36	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	104														
13	13	37	37	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	105		articStaccatoAbove							16					
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	106									17					
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	107									15					
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	108									15					
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	109									15					
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	110									15					
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	111									15					
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	112									15					
14	14	39	39	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	113														
14	14	40	40	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	114									18					
14	14	41	41	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	115														
15	15	42	42	0.0	0	0	Spanner	3/4	1	1	0														15		2			
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	116									15		2			
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	117									15		2			
15	15	43	43	0.0	1/4	1/4	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>ten."											
15	15	43	43	0.0	1/4	1/4	Spanner	3/4	1	1	0																			
15	15	43	43	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	118		articTenutoBelow												
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	119									19					
15	15	42	42	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	120		articStaccatoBelow												
15	15	43	43	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	121									20					
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	122														
16	16	45	45	2.0	0	0	Chord	3/4	1	1	1/2			1/2	1	123									19, 21					
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	124														
16	16	45	45	0.5	0	0	Chord	3/4	1	2	1/8			1/8	1	125														
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8			1/8	1	126														
16	16	46	46	1.0	1/4	1/4	Chord	3/4	1	2	1/4			1/4	1	127									22					
16	16	47	47	1.0	1/2	1/2	Chord	3/4	1	2	1/4			1/4	1	128														
16	16	46	46	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	129									23					
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	130									24					
17	17	97/2	97/2	1.0	1/8	1/8	Chord	3/4	1	1	1/4			1/4	1	131									25					
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	132									25					
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	133									25					
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	134									25					
17	17	48	48	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	135														
17	17	49	49	2.0	1/4	1/4	Chord	3/4	2	1	1/2			1/2	1	136		articTenutoAbove							26					
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	2	1/8			1/8	1	137		articStaccatoBelow												
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	2	1/4			1/4	1	138									27					
18	18	51	51	0.0	0	0	Spanner	3/4	1	1	0														25	1				
18	18	51	51	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	139									25	1				
18	18	103/2	103/2	0.0	1/8	1/8	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>dolce diminuendo"						25	1				
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	140									25	1				
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	141									25	1				
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	142									25	1				
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	143									25	1				
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	144									25	1				
18	18	51	51	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	145														
18	18	52	52	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	146									28					
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	147														
18	18	51	51	1.0	0	0	Chord	3/4	2	2	1/4			1/4	1	148														
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	149									25	1				
19	19	109/2	109/2	0.0	1/8	1/8	Spanner	3/4	1	1	0														25					
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	150									25					
19	19	55	55	1.5	1/4	1/4	Chord	3/4	1	1	3/8			1/4	3/2	151		articTenutoBelow							25					
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	152									25					
19	19	54	54	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	153		articStaccatoBelow							29					
19	19	55	55	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	154		articStaccatoAbove												
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	155									30					
20	20	57	57	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	156									25					
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	157									25					
20	20	58	58	0.0	1/4	1/4	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>ten."											
20	20	58	58	2.0	1/4	1/4	Chord	3/4	1	1	1/2			1/2	1	158		articTenutoBelow												
20	20	57	57	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	159		articStaccatoBelow							31					
20	20	58	58	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	160		articStaccatoAbove												
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	161									32					
21	21	121/2	121/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																3			
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	162		articTenutoBelow							33		3			
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	163									33		3			
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	164									33		3			
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	165		articTenutoBelow							33		3			
21	21	125/2	125/2	0.0	5/8	5/8	Spanner	3/4	1	1	0														33					
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	166									33					
21	21	123/2	123/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4			1/4	1	167														
21	21	60	60	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	168		articTenutoBelow												
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	169		articTenutoAbove												
21	21	62	62	0.0	1/2	1/2	StaffText	3/4	2	1	0								"<font size=""11.9365""/><font face=""Plantin MT Std""/>poco accel."											
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	170		articTenutoBelow												
22	22	63	63	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	171									33					
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	172		articTenutoAbove							33					
22	22	64	64	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	173									33					
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	174									33					
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	175		articTenutoAbove							33					
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	176									33					
22	22	63	63	1.0	0	0	Chord	3/4	1	2	1/4			1/4	1	177														
22	22	129/2	129/2	1.0	3/8	3/8	Chord	3/4	1	2	1/4			1/4	1	178														
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	179		articTenutoBelow												
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	180		articTenutoAbove												
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	181		articTenutoBelow												
23	23	66	66	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	182									33					
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8			1/8	1	183		articTenutoAbove							33					
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	184									33					
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8			1/8	1	185														
23	23	137/2	137/2	0.0	5/8	5/8	Spanner	3/4	1	1	0															2				
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8			1/8	1	186									34	2				
23	23	66	66	1.0	0	0	Chord	3/4	1	2	1/4			1/4	1	187										2				
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8			1/8	1	188										2				
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	189		articTenutoBelow												
23	23	67	67	0.0	1/4	1/4	StaffText	3/4	2	1	0								"<font size=""11.9365""/><font face=""Plantin MT Std""/>poco rit."											
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	190		articTenutoBelow												
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	191									35					
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4			1/4	1	192									34	2				
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	193										2				
24	24	71	71	0.0	1/2	1/2	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>silenza"											
24	24	71	71	0.0	1/2	1/2	Spanner	3/4	1	1	0																			
24	24	69	69	2.0	0	0	Chord	3/4	1	2	1/2			1/2	1	194														
24	24	69	69	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	195									35					
24	24	70	70	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	196														
24	24	69	69	2.0	0	0	Chord	3/4	2	2	1/2			1/2	1	197														
25	25	72	72	0.0	0	0	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>poco a poco piu mosso, donanzando e capricioso"											
25	25	72	72	0.0	0	0	Dynamic	3/4	1	1	0						sf													
25	25	72	72	0.0	0	0	Tempo	3/4	1	1	0									𝅗𝅥space.=60	180.0	𝅗𝅥space.	60.0	1.0						
25	25	72	72	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	198		articAccentStaccatoAbove												
25	25	291/4	291/4	0.0	3/16	3/16	Spanner	3/4	1	1	0															3				
25	25	291/4	291/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	199									36	3				
25	25	73	73	0.0	1/4	1/4	StaffText	3/4	1	1	0								"<font size=""9.8903""/><font face=""Plantin MT Std""/>automatico"							3				
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	200		articStaccatoAbove								3				
25	25	295/4	295/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	201									37	3				
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	202		articStaccatoAbove								3				
25	25	299/4	299/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	203									38	3				
25	25	72	72	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	204		articTenutoBelow							39					
25	25	73	73	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	205														
25	25	74	74	0.0	1/2	1/2	StaffText	3/4	2	1	0								senza Ped.											
26	26	75	75	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	206		articStaccatoAbove								3				
26	26	151/2	151/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
26	26	303/4	303/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	207									40					
26	26	76	76	0.0	1/4	1/4	Dynamic	3/4	1	1	0						p													
26	26	76	76	1.0	1/4	1/4	Chord	3/4	1	1	1/4			1/4	1	208		articStaccatoAbove												
26	26	77	77	0.0	1/2	1/2	Spanner	3/4	1	1	0																4			
26	26	77	77	1.0	1/2	1/2	Chord	3/4	1	1	1/4			1/4	1	209		articAccentAbove							41		4			
26	26	77	77	0.0	1/2	1/2	Spanner	3/4	2	1	0																	3	3	
26	26	77	77	1.0	1/2	1/2	Chord	3/4	2	1	1/4			1/4	1	210									42			3	3	
27	27	78	78	0.5	0	0	Chord	3/4	1	1	1/8			1/8	1	211		articAccentStaccatoAbove									4			
27	27	157/2	157/2	0.0	1/8	1/8	Spanner	3/4	1	1	0																			
27	27	315/4	315/4	0.0	3/16	3/16	Spanner	3/4	1	1	0															4				
27	27	315/4	315/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16			1/16	1	212									43	4				
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8			1/8	1	213		articStaccatoAbove								4				
27	27	319/4	319/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16			1/16	1	214									44	4				
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8			1/8	1	215		articStaccatoAbove								4				
27	27	323/4	323/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16			1/16	1	216									45	4				
27	27	78	78	1.0	0	0	Chord	3/4	2	1	1/4			1/4	1	217		articTenutoBelow							46			3	3	
27	27	79	79	0.0	1/4	1/4	Spanner	3/4	2	1	0																			
27	27	79	79	1.0	1/4	1/4	Chord	3/4	2	1	1/4			1/4	1	218		articStaccatoAbove												
