mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	Trill:trill	pedal	Pedal_<sym>keyboardPedalPed</sym>
7	7	18	18	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	52									7					
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	53									7					
7	7	19	19	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	54									7					
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	55									7					
7	7	20	20	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	56									7					
7	7	41/2	41/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	57									7					
7	7	37/2	37/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	58									9					
7	7	19	19	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	59									9					
7	7	39/2	39/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	60									9					
7	7	20	20	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	61														
8	8	21	21	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	62									7					
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	63									7					
8	8	22	22	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	64									7					
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	65									7					
8	8	23	23	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	66														
8	8	43/2	43/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	67									10					
8	8	22	22	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	68									10					
8	8	45/2	45/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	69									10					
8	8	23	23	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	70														
9	9	24	24	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	71									11					
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	72									11					
9	9	26	26	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	73									11					
9	9	53/2	53/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	74									11					
9	9	49/2	49/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	75									12					
9	9	25	25	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	76									12					
9	9	51/2	51/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	77									12					
9	9	26	26	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	78														
10	10	27	27	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	79									11					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	80									11					
10	10	28	28	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	81									11					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	82									11					
10	10	29	29	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	83									11					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	84									11					
10	10	55/2	55/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	85									13					
10	10	28	28	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	86									13					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	87									13					
10	10	29	29	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	88														
11	11	30	30	0.0	0	0	Chord	3/4	1	1	0	acciaccatura	1/8	1	89									11					
11	11	30	30	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	90									11					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	91									11					
11	11	31	31	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	92									11					
11	11	65/2	65/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	93									11					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	94									14					
11	11	31	31	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	95									14					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	96									14					
11	11	32	32	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	97														
12	12	33	33	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	98														
12	12	67/2	67/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	99									15					
12	12	34	34	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	100									15					
12	12	69/2	69/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	101									15					
12	12	35	35	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	102														
13	13	36	36	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>poco ritenuto"											
13	13	36	36	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	103									16					
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	104									16					
13	13	38	38	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	105									16					
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	106									16					
13	13	73/2	73/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	107									17					
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	108									17					
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	109									17					
13	13	38	38	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	110														
14	14	39	39	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	111									16					
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	112									16					
14	14	40	40	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	113									16					
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	114									16					
14	14	41	41	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	115									16					
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	116									16					
14	14	79/2	79/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	117									18					
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	118									18					
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	119									18					
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	120									18					
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	121														
15	15	42	42	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	122									16					
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	123									16					
15	15	43	43	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	124									16					
15	15	89/2	89/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	125														
15	15	85/2	85/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	126									19					
15	15	43	43	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	127									19					
15	15	87/2	87/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	128									19					
15	15	44	44	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	129														
16	16	45	45	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	130														
16	16	91/2	91/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																	0	0
16	16	91/2	91/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	131									20				0	0
16	16	46	46	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	132									20				0	0
16	16	93/2	93/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	133									20				0	0
16	16	47	47	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	134													0	0
17	17	48	48	0.0	0	0	StaffText	3/4	1	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>Piu mosso (non subito)"											
17	17	48	48	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	135		articTenutoAbove												
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	136									21					
17	17	49	49	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	137									21					
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	138									21					
17	17	50	50	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	139									21					
17	17	101/2	101/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	140														
17	17	48	48	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>cantando"										0	0
17	17	97/2	97/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	141									22				0	0
17	17	49	49	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	142									22				0	0
17	17	99/2	99/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	143									22				0	0
17	17	50	50	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	144													0	0
18	18	51	51	3.0	0	0	Chord	3/4	1	1	3/4		1/2	3/2	145		articTenutoAbove												
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	146									23					
18	18	52	52	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	147									23					
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	148									23					
18	18	53	53	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	149									23					
18	18	107/2	107/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	150														
18	18	103/2	103/2	0.0	1/8	1/8	Spanner	3/4	2	1	0																		
18	18	103/2	103/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	151									24					
18	18	52	52	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	152									24					
18	18	105/2	105/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	153									24					
18	18	53	53	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	154														
19	19	54	54	0.0	0	0	StaffText	3/4	1	1	0							(poco a poco quasi valse)											
19	19	54	54	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	155									25					
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	156									25					
19	19	55	55	1.5	1/4	1/4	Chord	3/4	1	1	3/8		1/4	3/2	157		articTenutoAbove												
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	158									26					
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	159									27					
19	19	55	55	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	160									27					
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	161									27					
19	19	56	56	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	162									27					
19	19	113/2	113/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	163														
19	19	109/2	109/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	164									28					
19	19	55	55	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	165									28					
19	19	111/2	111/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	166									28					
19	19	56	56	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	167														
20	20	57	57	0.0	0	0	Spanner	3/4	1	1	0													26	0				
20	20	57	57	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	168									26	0				
20	20	59	59	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	169										0				
20	20	119/2	119/2	0.0	5/8	5/8	Spanner	3/4	1	1	0																		
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	170									29					
20	20	58	58	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	171									29					
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	172									29					
20	20	59	59	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	173									29					
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	174														
20	20	57	57	0.0	0	0	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>sempre accel."											
20	20	115/2	115/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	175									30					
20	20	58	58	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	176									30					
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	177									30					
20	20	59	59	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	178														
21	21	60	60	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	179									31					
21	21	61	61	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	180									31					
21	21	62	62	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	181									31					
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	182									32					
21	21	61	61	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	183									32					
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	184									32					
21	21	62	62	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	185									32					
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	186									32					
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	187									33					
21	21	61	61	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	188									33					
21	21	123/2	123/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	189									33					
21	21	62	62	0.0	1/2	1/2	StaffText	3/4	2	1	0							"<font size=""10.2313""/><font face=""Plantin MT Std""/>cresc."											
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	190														
22	22	63	63	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	191														
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	192									34					
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	193									34					
22	22	63	63	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	194									32					
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	195														
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	196														
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	197														
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	198														
22	22	127/2	127/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	199									35					
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	200									35					
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	201									35					
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	202														
23	23	66	66	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	203														
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	204									36					
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	205									36					
23	23	66	66	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	206														
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	207														
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	208														
23	23	68	68	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	209														
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	210														
23	23	133/2	133/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	211									37					
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	212									37					
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	213									37					
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	214														
24	24	69	69	0.5	0	0	Chord	3/4	1	1	1/8		1/8	1	215									36					
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	216									36					
24	24	70	70	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	217														
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	218									38					
24	24	69	69	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	219														
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	220														
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	2	1/8		1/8	1	221														
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	222														
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	223														
24	24	139/2	139/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	224									39					
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	225									39					
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	226									39					
24	24	71	71	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	227														
25	25	72	72	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	228														
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	229									40					
25	25	74	74	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	230														
25	25	72	72	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	231														
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	232														
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8		1/8	1	233														
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	234														
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	235														
25	25	145/2	145/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	236									41					
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	237									41					
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	238									41					
25	25	74	74	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	239														
26	26	75	75	0.0	0	0	Dynamic	3/4	1	1	0					f													
26	26	75	75	0.0	0	0	StaffText	3/4	1	1	0							Tempo di Valse (sempre accelerando)											
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	240														
26	26	76	76	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	241														
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	242														
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	243														
26	26	75	75	2.0	0	0	Chord	3/4	1	2	1/2		1/2	1	244		articTenutoBelow												
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	2	1/8		1/8	1	245									42					
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8		1/8	1	246									42					
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	247									43					
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	248									43					
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	249														
26	26	77	77	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	250									44					
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	251									44					
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8		1/8	1	252														
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	253														
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	254														
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	255														
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	256														
27	27	78	78	0.5	0	0	Chord	3/4	1	2	1/8		1/8	1	257									42					
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8		1/8	1	258									42					
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	2	1/4		1/4	1	259		articTenutoBelow												
27	27	80	80	1.0	1/2	1/2	Chord	3/4	1	2	1/4		1/4	1	260		articTenutoBelow												
27	27	78	78	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	261									44					
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	262									44					
